location,depth.upper (m),depth.lower (m),area (m2),layer.volume (m3)
438,0,1,176793,170521.23
438,1,2,160770,141638.62
438,2,3,108551,77934.5
438,3,4,45387,26129.74
438,4,5,15942,11434
438,5,6,7411,3877.06
438,6,6.2,836,72.95
627,0,1,352823,348371.55
627,1,2,339769,330498.53
627,2,3,321238,312359.33
627,3,4,303663,294574.16
627,4,5,285226,274598.76
627,5,6,263036,249197.37
627,6,7,233026,211578.33
627,7,8,185990,139982.17
627,8,8.8,71726,19914.86
628,0,2,217682,389332.04
628,2,4,170946,279555.23
628,4,6,96136,152789.8
628,6,8,63690,107377.92
628,8,10,43296,69171.29
628,10,12,27436,43349.82
628,12,14,16501,25933.44
628,14,16,10341,16220.88
628,16,18,5948,8272.99
628,18,19.2,2476,1561.3
